Data,Post,Curtidas,Comentários,Alcance
11:05:2023 16:00,https://scontent-iad3-2.cdninstagram.com/v/t51.36329-15/346614198_1539285156595115_712914978031746539_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeE6P5MB5TvsazO9tizJCslY4vXXWKjCQibi9ddYqMJCJu01EltR8gZpQSEV7d5LesWFBw-QKO1bxcHpOw4FaQVw&_nc_ohc=a7sHdeRrkwIAX8xRdmW&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA6GDuEX62fYDTv6y_3F3gUpw77GLrMYMAX_Mhq2Rcj_Q&oe=64C46A29,41,5,340
09:05:2023 15:48,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/345424543_683429400254235_3108623236525685362_n.webp?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHhQkxv3S7VJcL_zoJWvbEstAxfRedO0cC0DF9F507RwNsod1rPgVljiuj98ay2SdWcR_XU_mRpEcy0Y487xiA7&_nc_ohc=-arN8GouIkUAX8OawgR&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfApvUaJRukTaMTCoXNROyTTw6nknoh8EY2vNmSzFPpBwA&oe=64C3D9AE,34,4,367
05:05:2023 15:12,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/344867993_789462342580029_2058136903396955527_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFAO7Kiq6ZMnuj0DWB7ntLcOFPcaMol0Mo4U9xoyiXQypTOU_3SE4IbKAOETNPw56PBezJzGDHaPcpxDfYD5lwv&_nc_ohc=-4vRwyR0sh0AX_rbylm&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDmfLviJEF-uoyxVLuu1IXko2lKzwvqdN4QVswie_NlzQ&oe=64C41AC8,67,2,788
02:05:2023 14:16,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/344237236_793325925246620_658197951920746714_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFNPxOfYpPvBXLUVRucKMhDfaw8Xx5Bgc19rDxfHkGBzRsNiACaP8wmlUZp-OKgCcAbEvPFnSJFZrouCBQedIfF&_nc_ohc=nj3en28Q8cQAX_MohJl&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBkGCofSw9Da_gGCRoZcUGdlmZLmbehsfoy7E2nkMQ-3w&oe=64C3B725,28,4,322
27:04:2023 16:01,https://scontent-iad3-1.cdninstagram.com/v/t51.36329-15/343820168_1290439705018125_3584516935156340715_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFvBwNsYmgHN6xWIZsAtuBcrhST9DHvp-muFJP0Me-n6RRVxyLGCFeuTHTk_vrvCIAzbwFfyHpK8vpa7ETwx0pv&_nc_ohc=1X3nNMtjXEMAX_VN9rQ&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAFGtm-ubswU4zIWh9jbSqxLtaswRMv638btQQ1F05CEQ&oe=64C4AEDB,51,7,508
25:04:2023 10:20,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f1/m82/264125A04F4B70B77B4721FA2B0A1399_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&vs=180410121603316_3903741872&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8yNjQxMjVBMDRGNEI3MEI3N0I0NzIxRkEyQjBBMTM5OV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR05FbGVCUlB2NTVQZkxNSEFIVGlyaWdWTFZnS2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmpJSt3smg%2Fj8VAigCQzMsF0BizWhysCDFGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBa14WPgm-jWHRoxDhT6PDE7vcg9gn2BpmcqcXjzOV4Zw&oe=64C02FD5&_nc_sid=1d576d&_nc_rid=d717c75194,21,1,474
21:04:2023 11:00,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/342223266_174121365169419_7958248190402119494_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeF5KL54GF6FfTvmAo6uMPxrnd40heWIfO2d3jSF5Yh87cLDhwr-QYtN-0JQRT4-Dk4tcZ-i1q51mcLGfa7lmgbu&_nc_ohc=N_p0F-caY64AX9yqgOL&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD-T8iSxDfMQFThp6c2OvIdiASCpziTWPTKoRFS7y15uw&oe=64C48224,25,2,611
20:04:2023 08:35,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f1/m82/19421A52715FD2FDED8E8CCDABE332BA_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&vs=994057818432197_3354178947&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8xOTQyMUE1MjcxNUZEMkZERUQ4RThDQ0RBQkUzMzJCQV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0dBMVl4UlFBTW5reDU4REFEZzlZRGp5SDVwN2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm1NSum%2F3I20AVAigCQzMsF0AlaPXCj1wpGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBStGGLUof61QTXmNSw6HI_T4xLW_MEXWcDUD3ZH1zEDA&oe=64C04270&_nc_sid=1d576d&_nc_rid=d2a1ec5bb5,32,4,1305
17:04:2023 17:32,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/341341871_2099804407077034_4046754097720912888_n.webp?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFQKys9lGNayB3t2Zg8cxlGTtx8ZzG31b9O3HxnMbfVv0H_xA-E0SJe2xz5d6Y5NpZyJCQ4h5tjHb2JN957J1Ae&_nc_ohc=RmDBC8uQMwIAX_1IXOp&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCp6q_yjMTRTt3lfc1JkPcyHyh30a7AEZ-RPGqxos56yQ&oe=64C4270A,29,6,837
12:04:2023 08:11,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/340827733_1224029284901672_1398270437201434747_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHIhndCsNNRpu5t0OKDHuSRKopGsDZo1_gqikawNmjX-N7ohle_2mkyveVDLxKWC-yvWxsZXi4VJlYEXCt-0cad&_nc_ohc=Yb-QlmQ9zBcAX-k166n&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDrUxFQGS_lnHF5Ys4auEB6aprUhG8Bx7-GT2rLAlKOiA&oe=64C3BE52,78,6,939
