Data,Post,Curtidas,Comentários,Alcance
23:11:2022 10:49,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/316574832_178721048143457_5487874909993091105_n.webp?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHvCfEletTs3CKVKJtJpbOwPAxD6oL0U8Q8DEPqgvRTxE_b1SJ-pTsDRK_nBRkKj_k6kFSiqJ73f5CPabWtlOqb&_nc_ohc=ttqTSF5VTTgAX8ELTCT&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAzRWBuI_INmZF2-1XI7u7G9AVqQPywG_O97zKcsfnBLw&oe=64C47AD2,100,6,1349
17:11:2022 12:31,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/315656816_645892847205787_8106037690097459934_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeExZoyEEB1IgP1h7iChDHNKuiy0RaAKU1K6LLRFoApTUusc2gBY-Yh5r_rwIrxvNlq9HDccJjyf9LCQF3B5xGgB&_nc_ohc=9iNJecyIgB0AX_M3ah5&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDJiqq1p_c_tUudwm-mdUwptqlCZSLnIErkDf6ba5dlFw&oe=64C2DD0C,55,0,764
25:10:2022 07:14,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/312642060_1284652975699694_3188189942532156617_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHtHpLUrO-b-MUeOBW-oV6Zp5oz0i9UfDmnmjPSL1R8OUBtE55cXidgm5Z-89wrjrW7ZSWqlTyyRmkni_MZI8k4&_nc_ohc=KeMMnk0N-V8AX_62_r6&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfC_3M3429fX0M4l4cY2ufouOv3xx52RIp1gaEbrAARoiQ&oe=64C39B0D,18,0,675
19:10:2022 11:07,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/311986166_775130620251943_5587859682325240507_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGYu_Jd3R5lpgVS4i7sumbGdOEfWw23TlB04R9bDbdOUMpjuh2w-RYNQVDbk9ZvjsY7Bi2JRo1R68k-ZZk-f266&_nc_ohc=oqlfH8rzLzcAX88MmQR&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCszsAiIzBZH4O3d7kbBgHsNlXRlkn5Y8toVmXxE-Jrnw&oe=64C3C086,43,0,1085
17:10:2022 14:16,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/311881426_1149540699313916_4837085345111243927_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEK_QnLkHhgvV7_AtTppmo0Qyw0hRcdbYdDLDSFFx1thwzRdt5Arz0WqnMNy954j46RZw03DyLfJ5FP223IpsJJ&_nc_ohc=xvCGTk4dsoQAX88ZNUx&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCrvfw7_mLQGn7-LkzPQKsOnqV2zfk7ScmbPGlb8RpF9A&oe=64C3C567,93,1,1723
27:09:2022 07:49,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/309136403_631285625192043_4283409301199188522_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFJNBtjym89bs0wvhiCrOxZ6toaOPfQTu_q2ho499BO7yWvx0V_NEl_nSM4n7BeHHz1abR0l_sRpIRbYeifb_ZE&_nc_ohc=Sb5jur5IY0EAX9wFROO&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCol5Q9i0B2NtihbewpX4TMne22xyW2g5WxFJW1h5Gtyg&oe=64C4905D,63,0,854
08:09:2022 07:01,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/306022961_605430527920179_1602829874096273980_n.webp?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGm4Ycgj5VOl5BSGcxLw6ZvB_MxSUUKZQIH8zFJRQplAnxLOV6D5E09i-Ij_Lqk6AafXZqV6Bt_1-iorrc4ZypF&_nc_ohc=AKFmQEvOl8UAX8gG5-f&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBumwoqvTBIuyWYIdyFA5l9NAgUeA4USY-lnC3vmfugMA&oe=64C3A289,37,0,776
06:09:2022 13:50,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/305220153_1070690943651386_97888916399557201_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEmLggnirY8o9dIH3fE-64OY-Gx17Kx9W1j4bHXsrH1bV9YmWJTSlBsb6CRtjXnNQUnx9j4OLWfrYWxUpQ_t-qI&_nc_ohc=-AlDVvLIq1gAX8l1maQ&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB1zl3MeGxxZy6o9DuTqtZ8VjRjFusPsKKDtOXQeVv7eQ&oe=64C468E0,64,4,931
04:09:2022 10:21,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/305342050_133943112684771_3601250807279637206_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFWo6qZVNEgzr7qj_Q5SRW-97Jas_jpxcn3slqz-OnFyYYE_c8Ocq0_bzvu_NSk178HSvKWHQ1zX6vJZKlhuKfY&_nc_ohc=tE_V_8lE2OwAX_mPgHu&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA21BaQ8Cz28yhJ8uJzno2PpsHc3XBJt2HboLVFdoUkkg&oe=64C41C6A,30,0,734
03:09:2022 15:27,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/304844750_813069129724595_5809880705987196763_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEI5H6L8ntsv17VyWDdijHxzr6gYbs7NkzOvqBhuzs2TL26kXAMKvi1fUtH4X8WgQAgvhcRS4bdrl3B85WDJ1Uk&_nc_ohc=Uguawa_GTqgAX-OowDM&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDrKeA0NdugWAojOatfMwMnSGB5L8jpnh-vgFuWUhNtxQ&oe=64C4431A,41,1,679
25:08:2022 16:22,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/301024448_591492612465283_6791272203318302736_n.webp?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGIFqbiKVAJNUnrjwgiKaEbC3iKdEpyIw0LeIp0SnIjDT86TUD3VErInS1qBt2His6dI0Yui4NpQViZhQQUp44H&_nc_ohc=cREpja2KHRQAX968BSl&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBlq8AXLQpqIRuzpvHSi0xfLwqzmdpe0YFpaEwRUxjbYA&oe=64C34699,68,0,867
19:08:2022 07:38,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/300001609_831828001316729_2969779501094066304_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEVc2n-BXDuMForcfB3y9vOSBPpLVOquhpIE-ktU6q6GrZwJaocCdmo87I6sA8TzlYS0nOMXwBuEuXuwI3xvPHz&_nc_ohc=HoVfmg6W40IAX94t1MJ&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBmFEp99nRqqgMB7-LCvIpZGg8SD5BmWOM7RpOXjwMk5Q&oe=64C42D47,57,1,884
11:08:2022 12:39,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/298496088_190433770027737_6404649583807536948_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHGXqVng2FIXaq-qFjD8Jtxvb_fcanN3Wm9v99xqc3daTFPwjQ5FT7Lm9K0q4DKGkJN6kMFdWJEFs-WtWym8S2Z&_nc_ohc=oh3u6VdruroAX9vrgyf&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDSUjbH9D98wAIFBoI_PJSu2-2U5j5RD99tArBOGtgdhg&oe=64C3C585,50,1,628
28:07:2022 15:19,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/295932278_771272917558677_2816326333056293742_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEGdz4YoG1fGSghRGfULKpczOl6Q1Tkse7M6XpDVOSx7kEGbXVSlPlKOYxZ3TM7BBbHofYouOSI2D3nTL600K03&_nc_ohc=ZLWz-LqzE90AX_j-C2l&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCpY7A3jrNS16hv45sIKvDjFADPmFRCLflYvsthtrRARQ&oe=64C38A86,78,2,1337
28:07:2022 15:05,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/296369898_738582340882350_5945631792201700881_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHOn_Y_mnlHqXVgT19kuAE0idJHALrQZi-J0kcAutBmL-dfXwZlGfaEIcty9yOET-rY7mbJA-3q-h3WOCklu7Z5&_nc_ohc=GNDxTWvKCKkAX96rf6A&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA6BhHR4SgOVQErlOAHgjrB6sU4JcsuwyQDmTT48x3JHQ&oe=64C2D876,87,6,1131
11:07:2022 07:10,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/292765661_1256995801707714_8306212535899470091_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHEu6RkmokF7f1u_ingj_96WQB8ZjDRZ2NZAHxmMNFnY_EOktOF5RcIG8foGE_Jol0rQM9sEjj06cw8tESxuTPf&_nc_ohc=Jj4faP4iYd8AX8nSJIg&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDKYdNeflCro4_t0piI8wje297n5Xo5tDJ-H4aBG1S_pw&oe=64C3532D,83,4,969
28:06:2022 10:43,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/290785262_463717859092608_1083350561366365009_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeETjR1u8yALuFuuotqw6QO_GTnIqXJYRoUZOcipclhGhYmF8iXRbQg39o7p02wWiWYz17G3VmM2HIoWVt9tlEX9&_nc_ohc=0ecaEgiINjEAX8uk-vA&_nc_oc=AQnDwN-LyWv5vKJBef75AfoIlOhcZXpJv1kqrb627Mntkx-DnjTJucv0zyzSqkj-Kfo&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD9eJfJt88NGwXSp6pThotUMTCwXFXZGFUJqn1SvI-IUg&oe=64C46DF4,50,0,817
08:06:2022 10:58,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/286807239_150892024176070_8455101437478847187_n.webp?stp=dst-jpg&_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGVkQJrIE9AWcILY8GwmpktjH_Mihde41GMf8yKF17jUQygPyx_UAEKgTwUYTnesvaFTxsMDaWdOIQd3ToBuHtW&_nc_ohc=8_r8LoAvJ34AX_27jtB&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD1btAUgOxCrhx3s7lUG9CNQuHxB3SHzWw7GN4Nz72tRA&oe=64C3C7A2,155,5,1634
08:06:2022 10:40,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/286451378_2891798764450715_8002514388962180108_n.webp?stp=dst-jpg&_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHWkE_VkVhqo74vk4Ingbv68uzHjWJHklDy7MeNYkeSUOC7tv4VivlxHD5RrHfXU6NUCMCQ1p6-iyopEmgwePg8&_nc_ohc=PPLv1f_0-3cAX-Vx4JT&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBRQYCwL-VCRHOk7e8sGQP81FfKBm27JDw_LlNTheyOLA&oe=64C360FC,44,1,647
06:06:2022 13:03,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/286098607_572409507572341_6369650355598284110_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFniTBuTSMtv0Z5GiSEslmqeu_N7fRsK2x6783t9GwrbGVntjOIJB1wVT8r_irHb9p4RwysVj7-vsZul7UOcjn5&_nc_ohc=MLJ5EJa969wAX_bnBbl&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBHOEXHYYHst21po9KRNukHRydw9LtwhQ9vNyjFsYw5IQ&oe=64C3001F,96,4,1295
05:06:2022 15:36,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/285729195_1150616792149969_121513338759714948_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeF_CVJlyyvkWhhYg723S4QpO1M9myfjgZ47Uz2bJ-OBnnc4W_Phj0vfRr8oYp50xOnj__CTssKPanS6r3x3pL9S&_nc_ohc=Yy5VxobWU6EAX8acTlH&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAnAIf-rfbkefsNfsrTqm9fi7NYtXsCN0Y60j4HH_LOCQ&oe=64C33F18,42,1,775
03:06:2022 14:53,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/285412192_974523583239386_4181947651933239103_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGYhK0LvsdtmUC0QkkHMOa7toxfRmEZ_9S2jF9GYRn_1H3cZ6tmS5oqKcVg3UzzIZC2iw4m3QeynqmdgsnnOOuH&_nc_ohc=GL9xRYzKVdkAX9Gb5qr&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB_gk5K6T84DraWSQZxNkheDqLBe1l8VvkEEvHQlvM34g&oe=64C2BE28,40,3,695
03:06:2022 04:01,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/285847134_799092937724775_4765913783481542032_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEaGuE075_EcFFzUJOvTfLzQrMrbSlnSK1CsyttKWdIraDoA9fF6QBCTszETMznClFEW0H9QFbTrUMxCBBfukK4&_nc_ohc=fHVaPqQJUM4AX8yjG4I&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAnwnHokcwECTNd7az8-uMN91w3RDBWBEcMT41TeWYreA&oe=64C48B48,111,0,1178
02:06:2022 17:33,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/285253243_172050671928402_161964263585352801_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeE_xyC8eZ88P4l3PR7efAyQe4usm9hYwdp7i6yb2FjB2jeUhdpEwY1jOAtW8QJsN2jM3AgdOZKrTiTOk6N0tbnT&_nc_ohc=ALGr168ZxnkAX8nb4rR&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBFjVTbwIXdsTfYSo2H4ZtURNkCn6g-hMGx0aklP2qGQw&oe=64C41394,43,1,923
27:05:2022 10:11,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/284483318_1121820928405169_7779043292120652021_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGt_PV4HwIdKqZZQUguewmcn8CtoUlKH1afwK2hSUofVvoeznvRW6BJMr57MwEVwKmmODaAkORcA7xo76LPOJ4P&_nc_ohc=Cgxiybk4pBsAX-nHsS2&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA0bL0Luy6U6o42jf2nXaCLGK295p0kes8b4lf8DEzoew&oe=64C3C1DE,127,2,1617
26:05:2022 16:53,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/283800803_594602498382828_2362241354672164976_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEk9qIhXQ8YPFtvZuxAzhRZSvTDl5_ThMBK9MOXn9OEwOlgNUxRXDZ_F-hUS9MzcFyPnFVR65xBuhPDU7IIGsK2&_nc_ohc=0RXGhcS_9LAAX_xWOVc&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDIRRarqBq0ZGz3BXZt8m-zpZz192xaW25QIhFL6bRMVA&oe=64C47F54,26,4,656
23:03:2022 08:04,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/277082656_378833937393887_859844165547211850_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFruH9xREQJ5FFlyWDhUvyGxCpapeO0_0nEKlql47T_SQ-VKOPljpU9StaQeH9OxbVP4V-4X31FhcDQCKfwHRa-&_nc_ohc=DmW3NhHGAooAX9BuHqz&_nc_oc=AQnL0KpAXDy7UVeEhHQ_2bN_JDw9brU43wRufeXQ8I3Am7wVz0yjvp4Vtb8F5Xlwdhw&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBm8aYAyKqR8ZHYo5PQSXNjDBnUjG5a4lXX9sttFX5I_A&oe=64C35BD4,24,4,576
21:03:2022 15:20,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/276108034_944179829574340_4051392305474748903_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGrtUobKlMmYFw_vnw96OlxkDX4XIb3daSQNfhchvd1pC5Vx1NbhpgX4YASyid9v87A5yVjVwpF6_pIFt8WgbT9&_nc_ohc=Oj1A9Ex2dbkAX_LNxWh&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD8BzQHbbrpjAPfl5CPbqY6-TGB3OF7XnOliSmmWTDc1A&oe=64C3480F,40,9,660
08:03:2022 11:33,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/275337750_305477995012178_6375646817356270850_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeF8XXLzNPqYIoo-Nl8HWnvRrr7UuV0UusuuvtS5XRS6ywbpb6Kof-ky3nT5cmlpeg4_vivzEEkrS2bHqHz45yV7&_nc_ohc=kLHDdmu8zQcAX89iB5C&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBI-J4MDj_7r4Md96rn4uwfnvMS4S_TaQgf4DQ-8lQ-PA&oe=64C3E9C4,67,1,603
08:02:2022 06:47,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/273735581_646142546627460_8965783639891724874_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeF3UOeyPrsaMElYkcpXhEIfSh434Fq9VCdKHjfgWr1UJ2CABtjklTR7ObOkRmJwjq8ff-O2QJklzxomb9_Lvqgh&_nc_ohc=y1NQV9c5Gy4AX_lYHmB&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAkGxbt0VUtL5n06rirWOcAUffgodW0XjtNgRbRjkPi6Q&oe=64C3B8F4,201,6,1684
01:02:2022 08:29,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/273134252_1084969552047000_3978207278219821237_n.webp?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGHx7Uosl6RQmLchhlauhwbf52S9gdFGK9_nZL2B0UYr_MWTeETRdmLOs6ToMsMELcm0etPACfMDMEYxLEotDKj&_nc_ohc=GrXAZci5Q3AAX9EFCrc&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA2brpT6Xh3OzmF2KFaS2tQTeUZ1wsHgmrs5VW3ivM_Vw&oe=64C47C52,151,2,1396
21:01:2022 10:12,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/272173680_657223672077801_1724689207661163861_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGJ4nxdSZubFzOS8wlJOXy1zPq_o1Z_gs7M-r-jVn-CzgY-o_oq2u4JcmBsc33-ltfsYfBg6B8EBvH-G68p0KVL&_nc_ohc=GmNu_B3IC30AX8a6Z_8&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCHAKCtujgc1QAkw_Vq0LXmOga_nf_LZrjcdDhxSRQxrA&oe=64C43D88,25,0,702
